B00, 185
B01, Trade, 955.429, 88, B00, B01, 1
B01, Trade, 957.000, 135, B00, B01, 1
B01, Trade, 970.429, 203, B01, S01, 1
B01, Trade, 986.571, 288, B01, B02, 1
B01, Trade, 989.571, 352, B01, B02, 1
B01, Trade, 998.429, 102, S01, B01, 1
B01, Trade, 999.714, 303, B01, S02, 1
B01, Trade, 1029.429, 282, B01, S02, 1
B01, Trade, 1044.571, 170, B01, S02, 1
B01, Trade, 1044.714, 237, S01, B01, 1
B01, Trade, 1048.000, 171, S01, B01, 1
B01, Trade, 1060.571, 142, B01, S00, 1
B01, Trade, 1074.714, 91, B00, B01, 1
B01, Trade, 1120.571, 99, B01, S00, 1
B01, Trade, 1121.429, 36, B01, S00, 1
B01, Trade, 1122.286, 101, S01, B01, 1
B01, Trade, 1210.571, 99, B01, B02, 1
B01, Trade, 1247.286, 374, B01, B02, 1
B01, Trade, 1247.857, 474, B00, B01, 1
B01, Trade, 1248.429, 345, B01, B00, 1
B01, Trade, 1248.857, 209, B01, B00, 1
B01, Trade, 1300.714, 97, B01, S00, 1
B01, Trade, 1301.143, 104, S01, B01, 1
B01, Trade, 1304.714, 345, B00, B01, 1
B01, Trade, 1306.286, 121, S02, B01, 1
B01, Trade, 1392.000, 102, B01, S01, 1
B01, Trade, 1441.000, 96, B01, B02, 1
B01, Trade, 1441.429, 191, B01, B02, 1
B01, Trade, 1441.857, 372, B01, B01, 1
B01, Trade, 1441.857, 372, B01, B01, 1
B01, Trade, 1445.143, 391, S02, B01, 1
B01, Trade, 1448.429, 174, B01, B02, 1
B01, Trade, 1448.857, 199, S02, B01, 1
B01, Trade, 1449.714, 258, B01, S02, 1
B01, Trade, 1452.429, 13, B01, B00, 1
B01, Trade, 1482.429, 87, S00, B01, 1
B01, Trade, 1483.429, 97, S01, B01, 1
B01, Trade, 1484.143, 66, B01, P00, 1
B01, Trade, 1487.143, 93, S00, B01, 1
B01, Trade, 1497.714, 42, B01, B00, 1
B01, Trade, 1498.714, 50, S00, B01, 1
B01, Trade, 1501.714, 53, B01, P00, 1
B01, Trade, 1502.000, 98, S01, B01, 1
B01, Trade, 1530.000, 98, B01, S01, 1
B01, Trade, 1531.857, 111, S02, B01, 1
B01, Trade, 1574.571, 99, B01, S01, 1
B01, Trade, 1574.857, 90, B00, B01, 1
B01, Trade, 1575.571, 201, S02, B01, 1
B01, Trade, 1605.857, 101, B01, S00, 1
B01, Trade, 1606.286, 311, S00, B01, 1
B01, Trade, 1664.286, 99, B01, S00, 1
B01, Trade, 1669.000, 101, B01, S00, 1
B01, Trade, 1669.857, 50, B01, B02, 1
