332.857, Bid:,3,85,1,87,1,97,1,Ask:,1,107,1,
334.714, Bid:,3,85,1,87,1,97,1,Ask:,2,105,1,107,1,
347.571, Bid:,2,85,1,87,1,Ask:,1,105,1,
347.714, Bid:,3,85,1,87,1,99,1,Ask:,1,105,1,
348.286, Bid:,3,85,1,87,1,99,1,Ask:,2,105,1,107,1,
362.857, Bid:,2,87,1,99,1,Ask:,1,105,1,
363.286, Bid:,2,87,1,99,1,Ask:,2,105,1,110,1,
364.000, Bid:,2,87,1,99,1,Ask:,3,100,1,105,1,110,1,
364.429, Bid:,2,87,2,99,1,Ask:,3,100,1,105,1,110,1,
365.143, Bid:,2,87,2,99,2,Ask:,3,100,1,105,1,110,1,
377.714, Bid:,2,87,2,99,1,Ask:,2,100,1,110,1,
378.000, Bid:,2,87,2,99,2,Ask:,2,100,1,110,1,
378.143, Bid:,2,87,2,99,2,Ask:,3,100,1,103,1,110,1,
392.714, Bid:,2,87,2,99,1,Ask:,2,103,1,110,1,
392.857, Bid:,2,87,2,99,2,Ask:,2,103,1,110,1,
393.000, Bid:,2,87,2,99,1,Ask:,1,110,1,
393.000, Bid:,2,87,2,99,1,Ask:,2,100,1,110,1,
393.143, Bid:,2,87,2,99,1,Ask:,3,100,1,104,1,110,1,
393.571, Bid:,2,87,2,99,2,Ask:,3,100,1,104,1,110,1,
407.857, Bid:,2,87,1,99,2,Ask:,2,100,1,104,1,
409.571, Bid:,2,87,1,99,2,Ask:,3,100,1,104,1,110,1,
411.429, Bid:,3,87,1,90,1,99,2,Ask:,3,100,1,104,1,110,1,
422.857, Bid:,3,87,1,90,1,99,1,Ask:,2,104,1,110,1,
423.143, Bid:,2,87,1,90,1,Ask:,1,104,1,
423.143, Bid:,3,87,1,90,1,99,1,Ask:,1,104,1,
423.286, Bid:,3,87,1,90,1,99,1,Ask:,2,100,1,104,1,
423.429, Bid:,3,87,1,90,1,99,1,Ask:,3,100,1,104,1,106,1,
424.000, Bid:,3,87,1,90,1,99,2,Ask:,3,100,1,104,1,106,1,
438.000, Bid:,2,87,1,99,2,Ask:,2,104,1,106,1,
439.000, Bid:,3,87,1,92,1,99,2,Ask:,2,104,1,106,1,
439.286, Bid:,3,87,1,92,1,99,2,Ask:,3,100,1,104,1,106,1,
453.000, Bid:,3,87,1,92,1,99,1,Ask:,2,100,1,106,1,
453.143, Bid:,4,87,1,92,1,97,1,99,1,Ask:,2,100,1,106,1,
453.286, Bid:,3,87,1,92,1,97,1,Ask:,1,106,1,
453.286, Bid:,4,87,1,92,1,97,1,99,1,Ask:,1,106,1,
454.429, Bid:,4,87,1,92,1,97,1,99,1,Ask:,2,100,1,106,1,
454.571, Bid:,4,87,1,92,1,97,1,99,1,Ask:,3,100,1,104,1,106,1,
468.143, Bid:,3,87,1,97,1,99,1,Ask:,2,100,1,104,1,
468.714, Bid:,3,87,1,97,1,99,1,Ask:,3,100,1,104,1,110,1,
468.857, Bid:,4,87,1,92,1,97,1,99,1,Ask:,3,100,1,104,1,110,1,
483.143, Bid:,3,87,1,92,1,99,1,Ask:,2,100,1,110,1,
483.286, Bid:,3,87,1,92,1,99,1,Ask:,3,100,1,102,1,110,1,
483.429, Bid:,2,87,1,99,1,Ask:,2,100,1,102,1,
483.429, Bid:,2,87,2,99,1,Ask:,2,100,1,102,1,
484.143, Bid:,2,87,2,99,1,Ask:,3,100,1,102,1,105,1,
484.857, Bid:,2,87,2,99,2,Ask:,3,100,1,102,1,105,1,
498.286, Bid:,2,87,2,99,1,Ask:,2,100,1,105,1,
499.000, Bid:,2,87,2,99,1,Ask:,2,100,1,105,2,
499.286, Bid:,2,87,2,99,2,Ask:,2,100,1,105,2,
513.286, Bid:,2,87,2,99,1,Ask:,1,105,2,
513.286, Bid:,2,87,2,99,1,Ask:,2,100,1,105,2,
513.571, Bid:,2,87,1,99,1,Ask:,1,105,2,
513.714, Bid:,2,87,2,99,1,Ask:,1,105,2,
514.571, Bid:,2,87,2,99,1,Ask:,2,100,1,105,2,
515.857, Bid:,2,87,2,99,2,Ask:,2,100,1,105,2,
528.571, Bid:,2,87,2,99,1,Ask:,2,100,1,105,1,
528.714, Bid:,2,87,2,99,1,Ask:,3,100,1,105,1,106,1,
529.286, Bid:,2,87,2,99,2,Ask:,3,100,1,105,1,106,1,
543.571, Bid:,2,87,2,99,1,Ask:,2,100,1,106,1,
543.857, Bid:,1,87,2,Ask:,1,106,1,
544.429, Bid:,2,87,2,99,1,Ask:,1,106,1,
545.143, Bid:,3,87,2,96,1,99,1,Ask:,1,106,1,
545.571, Bid:,3,87,2,96,1,99,1,Ask:,2,100,1,106,1,
546.429, Bid:,3,87,2,96,1,99,1,Ask:,2,100,2,106,1,
558.857, Bid:,2,87,2,99,1,Ask:,2,100,1,106,1,
558.857, Bid:,3,87,2,96,1,99,1,Ask:,2,100,1,106,1,
559.286, Bid:,3,87,2,96,1,99,1,Ask:,2,100,2,106,1,
573.857, Bid:,3,87,1,96,1,99,1,Ask:,1,100,2,
574.429, Bid:,3,87,1,96,1,99,1,Ask:,2,100,2,114,1,
575.714, Bid:,4,87,1,94,1,96,1,99,1,Ask:,2,100,2,114,1,
589.143, Bid:,3,87,1,94,1,99,1,Ask:,2,100,1,114,1,
589.143, Bid:,4,87,1,94,1,97,1,99,1,Ask:,2,100,1,114,1,
589.286, Bid:,4,87,1,94,1,97,1,99,1,Ask:,2,100,2,114,1,
604.143, Bid:,3,87,1,94,1,97,1,Ask:,2,100,1,114,1,
604.143, Bid:,4,87,1,94,1,97,1,99,1,Ask:,2,100,1,114,1,
604.429, Bid:,3,87,1,97,1,99,1,Ask:,1,100,1,
604.429, Bid:,3,87,1,97,1,99,1,Ask:,1,100,2,
605.000, Bid:,3,87,1,97,1,99,1,Ask:,2,100,2,109,1,
605.571, Bid:,4,87,1,88,1,97,1,99,1,Ask:,2,100,2,109,1,
619.429, Bid:,3,87,1,88,1,97,1,Ask:,2,100,1,109,1,
620.286, Bid:,3,87,1,88,1,97,1,Ask:,3,99,1,100,1,109,1,
620.429, Bid:,4,87,1,88,1,97,1,98,1,Ask:,3,99,1,100,1,109,1,
