0.000, Bid:,0,Ask:,0,
93.143, Bid:,2,72,1,104,1,Ask:,2,106,1,128,1,
93.429, Bid:,2,72,1,104,1,Ask:,2,105,1,128,1,
93.714, Bid:,1,72,1,Ask:,2,105,1,128,1,
94.143, Bid:,1,72,1,Ask:,2,104,1,128,1,
94.571, Bid:,1,72,1,Ask:,2,103,1,128,1,
95.143, Bid:,1,72,1,Ask:,2,102,1,128,1,
95.286, Bid:,1,72,1,Ask:,2,101,1,128,1,
95.429, Bid:,2,72,1,73,1,Ask:,2,101,1,128,1,
96.143, Bid:,2,72,1,74,1,Ask:,2,101,1,128,1,
96.714, Bid:,2,72,1,74,1,Ask:,2,100,1,128,1,
97.143, Bid:,2,72,1,75,1,Ask:,2,100,1,128,1,
97.286, Bid:,2,72,1,75,1,Ask:,2,99,1,128,1,
97.714, Bid:,2,72,1,76,1,Ask:,2,99,1,128,1,
98.000, Bid:,2,72,1,77,1,Ask:,2,99,1,128,1,
98.143, Bid:,2,72,1,78,1,Ask:,2,99,1,128,1,
98.286, Bid:,2,72,1,79,1,Ask:,2,99,1,128,1,
99.143, Bid:,2,72,1,79,1,Ask:,2,98,1,128,1,
100.000, Bid:,2,72,1,79,1,Ask:,2,97,1,128,1,
100.143, Bid:,2,72,1,79,1,Ask:,2,96,1,128,1,
100.286, Bid:,2,72,1,80,1,Ask:,2,96,1,128,1,
100.571, Bid:,2,72,1,80,1,Ask:,2,95,1,128,1,
100.714, Bid:,2,72,1,80,1,Ask:,2,94,1,128,1,
101.000, Bid:,3,72,1,80,1,81,1,Ask:,2,94,1,128,1,
101.286, Bid:,3,72,1,80,1,81,1,Ask:,2,93,1,128,1,
101.429, Bid:,3,72,1,80,1,81,1,Ask:,2,92,1,128,1,
102.571, Bid:,3,72,1,80,1,81,1,Ask:,2,91,1,128,1,
102.714, Bid:,3,72,1,80,1,81,1,Ask:,2,90,1,128,1,
103.000, Bid:,3,72,1,81,1,82,1,Ask:,2,90,1,128,1,
103.143, Bid:,3,72,1,81,1,83,1,Ask:,2,90,1,128,1,
103.429, Bid:,3,72,1,81,1,83,1,Ask:,2,89,1,128,1,
103.857, Bid:,3,72,1,81,1,83,1,Ask:,2,88,1,128,1,
104.857, Bid:,3,72,1,83,1,84,1,Ask:,2,88,1,128,1,
105.000, Bid:,3,72,1,83,1,84,1,Ask:,2,87,1,128,1,
105.143, Bid:,3,72,1,83,1,85,1,Ask:,2,87,1,128,1,
105.286, Bid:,3,72,1,85,1,86,1,Ask:,2,87,1,128,1,
105.429, Bid:,2,72,1,85,1,Ask:,1,128,1,
106.857, Bid:,2,72,1,86,1,Ask:,1,128,1,
107.286, Bid:,2,72,1,87,1,Ask:,1,128,1,
107.571, Bid:,2,72,1,87,1,Ask:,0,
108.286, Bid:,2,72,1,87,1,Ask:,1,131,1,
109.000, Bid:,2,72,1,88,1,Ask:,1,131,1,
109.429, Bid:,2,72,1,89,1,Ask:,1,131,1,
110.143, Bid:,2,72,1,90,1,Ask:,1,131,1,
112.857, Bid:,2,72,1,91,1,Ask:,1,131,1,
114.000, Bid:,2,72,1,92,1,Ask:,1,131,1,
114.143, Bid:,2,72,1,93,1,Ask:,1,131,1,
114.714, Bid:,2,72,1,94,1,Ask:,1,131,1,
114.857, Bid:,2,72,1,95,1,Ask:,1,131,1,
115.000, Bid:,2,72,1,96,1,Ask:,1,131,1,
115.143, Bid:,2,72,1,96,1,Ask:,2,130,1,131,1,
115.714, Bid:,2,72,1,97,1,Ask:,2,130,1,131,1,
115.857, Bid:,2,72,1,97,1,Ask:,2,129,1,131,1,
116.571, Bid:,2,72,1,98,1,Ask:,2,129,1,131,1,
117.714, Bid:,2,72,1,99,1,Ask:,2,129,1,131,1,
118.857, Bid:,2,72,1,99,1,Ask:,2,128,1,131,1,
119.000, Bid:,2,72,1,99,1,Ask:,2,127,1,131,1,
119.286, Bid:,2,72,1,100,1,Ask:,2,127,1,131,1,
120.143, Bid:,2,72,1,101,1,Ask:,2,127,1,131,1,
120.857, Bid:,1,101,1,Ask:,2,127,1,131,1,
121.143, Bid:,1,101,1,Ask:,2,126,1,131,1,
121.429, Bid:,1,102,1,Ask:,2,126,1,131,1,
121.571, Bid:,1,102,1,Ask:,2,125,1,131,1,
121.714, Bid:,1,103,1,Ask:,2,125,1,131,1,
122.000, Bid:,1,103,1,Ask:,3,124,1,125,1,131,1,
122.429, Bid:,1,103,1,Ask:,3,123,1,125,1,131,1,
122.714, Bid:,1,103,1,Ask:,3,122,1,125,1,131,1,
123.000, Bid:,1,103,1,Ask:,2,122,1,131,1,
123.000, Bid:,1,103,1,Ask:,3,121,1,122,1,131,1,
123.143, Bid:,1,103,1,Ask:,3,120,1,122,1,131,1,
123.286, Bid:,1,103,1,Ask:,3,119,1,122,1,131,1,
123.714, Bid:,1,103,1,Ask:,3,118,1,119,1,131,1,
124.286, Bid:,1,104,1,Ask:,3,118,1,119,1,131,1,
