B02, Trade, 3250.143, 110, S02, B02, 1
B02, Trade, 3279.000, 113, B02, S00, 1
B02, Trade, 3324.714, 100, S01, B02, 1
B02, Trade, 3341.429, 95, S00, B02, 1
B02, Trade, 3384.000, 103, P00, B02, 1
B02, Trade, 3384.857, 114, B02, S01, 1
B02, Trade, 3446.714, 105, B02, P00, 1
B02, Trade, 3476.000, 104, S01, B02, 1
B02, Trade, 3505.143, 105, B02, S00, 1
B02, Trade, 3551.000, 97, P00, B02, 1
B02, Trade, 3580.286, 102, S01, B02, 1
B02, Trade, 3625.857, 107, S02, B02, 1
B02, Trade, 3655.571, 102, S01, B02, 1
B02, Trade, 3673.143, 105, B02, S01, 1
B02, Trade, 3687.571, 106, B02, S02, 1
B02, Trade, 3747.857, 99, S01, B02, 1
B02, Trade, 3791.571, 105, B02, S00, 1
B02, Trade, 3822.000, 99, S01, B02, 1
B02, Trade, 3853.286, 108, B02, P00, 1
B02, Trade, 3896.429, 102, S01, B02, 1
B02, Trade, 3911.571, 108, B02, S00, 1
B02, Trade, 3958.571, 100, S01, B02, 1
B02, Trade, 3987.571, 108, B02, P00, 1
B02, Trade, 4033.286, 110, S02, B02, 1
B02, Trade, 4079.571, 97, S01, B02, 1
B02, Trade, 4122.714, 110, S02, B02, 1
B02, Trade, 4168.571, 106, S02, B02, 1
B02, Trade, 4199.143, 107, B02, P00, 1
B02, Trade, 4246.143, 98, S01, B02, 1
B02, Trade, 4274.714, 104, S01, B02, 1
B02, Trade, 4307.143, 105, B02, S01, 1
B02, Trade, 4321.000, 107, B02, S01, 1
B02, Trade, 4367.571, 108, S02, B02, 1
B02, Trade, 4380.571, 95, S01, B02, 1
B02, Trade, 4442.000, 106, B02, P00, 1
B02, Trade, 4458.143, 102, S01, B02, 1
B02, Trade, 4502.000, 99, S01, B02, 1
B02, Trade, 4546.714, 100, S01, B02, 1
B02, Trade, 4578.286, 106, B02, S01, 1
B02, Trade, 4594.571, 110, B02, S02, 1
B02, Trade, 4652.571, 102, S01, B02, 1
B02, Trade, 4685.429, 91, S00, B02, 1
B02, Trade, 4714.857, 107, S02, B02, 1
B02, Trade, 4774.571, 107, S02, B02, 1
B02, Trade, 4804.571, 113, B02, P00, 1
B02, Trade, 4864.571, 101, S01, B02, 1
B02, Trade, 4865.714, 111, S02, B02, 1
B02, Trade, 4926.286, 104, S01, B02, 1
B02, Trade, 4941.143, 108, B02, S00, 1
B02, Trade, 4985.857, 101, P00, B02, 1
S00, 100
S00, Trade, 1680.000, 90, S00, P00, 1
S00, Trade, 1695.714, 101, B01, S00, 1
S00, Trade, 1740.571, 88, B00, S00, 1
S00, Trade, 1758.429, 94, S00, B02, 1
S00, Trade, 1786.286, 90, S00, B01, 1
S00, Trade, 1846.286, 94, S00, B01, 1
S00, Trade, 1877.857, 96, B01, S00, 1
S00, Trade, 1937.286, 95, S00, B01, 1
S00, Trade, 1953.143, 91, P00, S00, 1
S00, Trade, 2000.429, 95, S00, B02, 1
S00, Trade, 2058.286, 86, S00, P00, 1
S00, Trade, 2088.857, 87, S00, P00, 1
S00, Trade, 2148.714, 95, B00, S00, 1
S00, Trade, 2166.429, 94, S00, P00, 1
S00, Trade, 2180.857, 93, S00, B01, 1
S00, Trade, 2224.000, 95, S00, B02, 1
S00, Trade, 2268.857, 95, S00, B00, 1
S00, Trade, 2285.857, 94, S00, P00, 1
S00, Trade, 2314.857, 94, S00, P00, 1
S00, Trade, 2329.571, 97, B01, S00, 1
S00, Trade, 2375.143, 94, S00, P00, 1
S00, Trade, 2391.857, 96, B01, S00, 1
S00, Trade, 2420.714, 99, B01, S00, 1
S00, Trade, 2464.714, 100, B01, S00, 1
S00, Trade, 2480.857, 94, B00, S00, 1
S00, Trade, 2540.000, 96, B01, S00, 1
S00, Trade, 2571.000, 93, B00, S00, 1
S00, Trade, 2585.429, 103, B01, S00, 1
S00, Trade, 2601.429, 95, S00, B01, 1
S00, Trade, 2647.000, 109, B02, S00, 1
S00, Trade, 2662.000, 95, S00, P00, 1
S00, Trade, 2706.286, 104, B01, S00, 1
S00, Trade, 2752.857, 100, B01, S00, 1
S00, Trade, 2766.571, 93, B00, S00, 1
S00, Trade, 2797.429, 113, B02, S00, 1
S00, Trade, 2827.143, 98, B01, S00, 1
S00, Trade, 2872.714, 95, B01, S00, 1
