B00, 142
B01, Trade, 430.143, 257, B01, S02, 1
B01, Trade, 431.429, 366, B02, B01, 1
B01, Trade, 436.286, 230, B01, S02, 1
B01, Trade, 436.571, 155, B02, B01, 1
B01, Trade, 453.429, 75, B02, B01, 1
B01, Trade, 465.429, 67, S00, B01, 1
B01, Trade, 484.714, 59, B01, B02, 1
B01, Trade, 508.143, 128, B01, S00, 1
B01, Trade, 534.429, 93, B01, S00, 1
B01, Trade, 536.143, 115, S01, B01, 1
B01, Trade, 539.000, 189, B01, B02, 1
B01, Trade, 540.714, 365, B00, B01, 1
B01, Trade, 541.429, 259, B00, B01, 1
B01, Trade, 554.286, 150, B01, S02, 1
B01, Trade, 556.714, 144, B01, S02, 1
B01, Trade, 604.714, 91, B01, S02, 1
B01, Trade, 605.000, 354, S00, B01, 1
B01, Trade, 609.714, 154, B01, S01, 1
B01, Trade, 635.000, 89, B01, S00, 1
B01, Trade, 637.286, 288, S02, B01, 1
B01, Trade, 700.571, 103, B01, S00, 1
B01, Trade, 702.571, 266, S02, B01, 1
B01, Trade, 729.000, 114, B01, S01, 1
B01, Trade, 756.714, 70, B01, S00, 1
B01, Trade, 757.143, 154, B02, B01, 1
B01, Trade, 773.286, 90, S01, B01, 1
B01, Trade, 806.571, 76, S00, B01, 1
B01, Trade, 808.714, 130, B02, B01, 1
B01, Trade, 810.000, 53, B00, B01, 1
B01, Trade, 811.429, 94, B01, S02, 1
B01, Trade, 811.857, 121, S02, B01, 1
B01, Trade, 812.000, 345, B00, B01, 1
B01, Trade, 812.429, 80, B01, B00, 1
B01, Trade, 847.857, 113, B01, S00, 1
B01, Trade, 848.571, 136, S02, B01, 1
B01, Trade, 862.286, 42, B00, B01, 1
B01, Trade, 914.857, 120, B01, S01, 1
B01, Trade, 938.286, 316, B01, S02, 1
B01, Trade, 958.857, 113, B01, S00, 1
B01, Trade, 1028.429, 109, B01, S00, 1
B01, Trade, 1028.714, 55, S02, B01, 1
B01, Trade, 1059.714, 80, S01, B01, 1
B01, Trade, 1062.571, 129, B01, S02, 1
B01, Trade, 1063.571, 363, S02, B01, 1
B01, Trade, 1064.286, 459, S02, B01, 1
B01, Trade, 1070.000, 142, B01, S00, 1
B01, Trade, 1075.714, 197, B01, S02, 1
B01, Trade, 1105.857, 116, B01, S00, 1
B01, Trade, 1107.143, 118, B01, S00, 1
B01, Trade, 1107.286, 211, B02, B01, 1
B01, Trade, 1108.571, 192, B01, S02, 1
B01, Trade, 1109.286, 437, B01, S00, 1
B01, Trade, 1109.429, 144, S02, B01, 1
B01, Trade, 1110.143, 296, B01, P00, 1
B01, Trade, 1150.143, 211, B01, S00, 1
B01, Trade, 1151.571, 190, B01, B02, 1
B01, Trade, 1158.714, 74, B01, S00, 1
B01, Trade, 1191.571, 85, B01, S00, 1
B01, Trade, 1221.429, 86, S01, B01, 1
B01, Trade, 1270.857, 88, B01, S01, 1
B01, Trade, 1294.714, 64, S00, B01, 1
B01, Trade, 1375.429, 109, B01, S00, 1
B01, Trade, 1376.429, 243, B01, S02, 1
B01, Trade, 1379.000, 191, B01, P00, 1
B01, Trade, 1379.143, 347, B02, B01, 1
B01, Trade, 1379.857, 78, B02, B01, 1
B01, Trade, 1382.000, 391, S02, B01, 1
B01, Trade, 1392.143, 112, B01, S01, 1
B01, Trade, 1392.429, 174, B01, B01, 1
B01, Trade, 1392.429, 174, B01, B01, 1
B01, Trade, 1422.429, 85, B01, S00, 1
B01, Trade, 1423.143, 99, S01, B01, 1
B01, Trade, 1425.571, 42, B01, B02, 1
B01, Trade, 1441.000, 106, S01, B01, 1
B01, Trade, 1441.143, 265, S00, B01, 1
B01, Trade, 1513.000, 300, B01, S02, 1
B01, Trade, 1577.714, 110, B01, S00, 1
B01, Trade, 1578.714, 327, B01, P00, 1
B01, Trade, 1580.857, 205, B01, P00, 1
B01, Trade, 1582.714, 339, S00, B01, 1
B01, Trade, 1584.857, 408, B01, S00, 1
B01, Trade, 1605.286, 91, B01, S01, 1
B01, Trade, 1668.000, 93, B01, S00, 1
B01, Trade, 1694.857, 177, B01, S02, 1
B01, Trade, 1702.429, 254, B01, S02, 1
B01, Trade, 1717.000, 110, B01, S01, 1
B01, Trade, 1718.000, 309, B01, P00, 1
B01, Trade, 1718.857, 324, S02, B01, 1
B01, Trade, 1725.714, 406, B01, S00, 1
B01, Trade, 1726.286, 146, B02, B01, 1
B01, Trade, 1742.429, 111, B01, S00, 1
B01, Trade, 1743.714, 340, S02, B01, 1
B01, Trade, 1782.714, 103, B01, S00, 1
B01, Trade, 1783.857, 75, B01, S02, 1
B01, Trade, 1811.429, 109, B01, S00, 1
B01, Trade, 1832.000, 93, B01, S00, 1
B01, Trade, 1847.429, 179, B01, S02, 1
B01, Trade, 1848.429, 125, B02, B01, 1
B01, Trade, 1855.857, 100, B01, S01, 1
B01, Trade, 1858.286, 139, S01, B01, 1
B01, Trade, 1892.286, 58, S01, B01, 1
B01, Trade, 1892.714, 106, B02, B01, 1
B01, Trade, 1909.000, 185, B01, B00, 1
B01, Trade, 1938.000, 66, B01, B01, 1
B01, Trade, 1938.000, 66, B01, B01, 1
B01, Trade, 1938.714, 107, S01, B01, 1
B01, Trade, 1980.286, 83, B01, P00, 1
B01, Trade, 1982.143, 175, B01, P00, 1
B01, Trade, 2013.571, 96, B01, S00, 1
B01, Trade, 2017.000, 403, B01, S02, 1
B01, Trade, 2017.143, 311, S00, B01, 1
B01, Trade, 2031.286, 215, B01, S02, 1
B01, Trade, 2147.571, 103, B01, S01, 1
B01, Trade, 2149.429, 106, B01, B02, 1
B01, Trade, 2180.143, 97, B01, S00, 1
B01, Trade, 2181.714, 352, S01, B01, 1
B01, Trade, 2182.143, 348, S00, B01, 1
B01, Trade, 2208.857, 81, B01, S00, 1
B01, Trade, 2210.143, 118, P00, B01, 1
B01, Trade, 2293.000, 106, B01, S00, 1
B01, Trade, 2294.143, 72, S01, B01, 1
B01, Trade, 2294.429, 205, S00, B01, 1
B01, Trade, 2355.429, 104, B01, S00, 1
B01, Trade, 2389.714, 91, B01, S00, 1
B01, Trade, 2390.143, 76, B00, B01, 1
B01, Trade, 2392.286, 301, B00, B01, 1
B01, Trade, 2396.143, 16, B01, B00, 1
B01, Trade, 2396.571, 374, S02, B01, 1
B01, Trade, 2397.286, 157, B02, B01, 1
B01, Trade, 2397.714, 413, S00, B01, 1
B01, Trade, 2398.429, 457, B02, B01, 1
B01, Trade, 2472.714, 118, B01, S01, 1
B01, Trade, 2696.286, 104, B01, S02, 1
B01, Trade, 2734.143, 89, B01, S00, 1
B01, Trade, 2736.000, 99, B01, S00, 1
B01, Trade, 2788.571, 96, B01, S00, 1
B01, Trade, 2800.429, 382, B01, S02, 1
B01, Trade, 2811.714, 382, B01, S00, 1
B01, Trade, 2831.286, 110, B01, S01, 1
B01, Trade, 2832.857, 268, B02, B01, 1
B01, Trade, 2867.571, 82, B01, S00, 1
B01, Trade, 2868.714, 177, B01, B02, 1
B01, Trade, 2880.571, 262, B01, S00, 1
B01, Trade, 2885.000, 404, B01, S01, 1
B01, Trade, 2891.714, 313, B01, S00, 1
B01, Trade, 2893.429, 372, B02, B01, 1
B01, Trade, 2918.286, 189, B01, S02, 1
B01, Trade, 2919.571, 290, S01, B01, 1
B01, Trade, 2932.143, 11, B00, B01, 1
B01, Trade, 2933.714, 73, S00, B01, 1
B01, Trade, 2934.429, 51, S00, B01, 1
B01, Trade, 2945.000, 75, S01, B01, 1
B01, Trade, 2945.429, 205, B01, S01, 1
B01, Trade, 2946.000, 294, B00, B01, 1
B01, Trade, 2958.000, 139, B01, S00, 1
B01, Trade, 2958.857, 193, S00, B01, 1
B01, Trade, 2965.571, 25, B01, B00, 1
B01, Trade, 2978.857, 28, B02, B01, 1
B01, Trade, 2979.714, 118, B00, B01, 1
B01, Trade, 2980.143, 210, B01, S01, 1
B01, Trade, 2993.286, 80, S00, B01, 1
B01, Trade, 3076.000, 108, B01, S00, 1
B01, Trade, 3076.143, 63, B00, B01, 1
B01, Trade, 3117.714, 91, B01, S02, 1
B01, Trade, 3121.000, 64, S02, B01, 1
B01, Trade, 3130.286, 163, B01, S02, 1
B01, Trade, 3137.857, 435, B01, B00, 1
B01, Trade, 3138.429, 156, S00, B01, 1
B01, Trade, 3147.000, 99, B01, S00, 1
B01, Trade, 3190.857, 119, B01, B02, 1
B01, Trade, 3235.857, 364, B01, B02, 1
B01, Trade, 3294.000, 89, B01, S00, 1
B01, Trade, 3295.571, 181, S01, B01, 1
B01, Trade, 3296.143, 305, B01, P00, 1
B01, Trade, 3298.000, 361, S00, B01, 1
B01, Trade, 3308.857, 325, B01, S00, 1
B01, Trade, 3379.571, 111, B01, S00, 1
B01, Trade, 3391.143, 96, B01, S00, 1
B01, Trade, 3439.286, 81, B01, S00, 1
B01, Trade, 3448.286, 94, B01, S01, 1
B01, Trade, 3475.000, 336, B01, S01, 1
B01, Trade, 3475.571, 77, B01, S00, 1
B01, Trade, 3476.143, 146, S01, B01, 1
B01, Trade, 3476.571, 65, B00, B01, 1
B01, Trade, 3505.571, 98, B01, S01, 1
B01, Trade, 3547.000, 94, B01, S01, 1
B01, Trade, 3547.714, 120, S02, B01, 1
B01, Trade, 3548.857, 50, S01, B01, 1
B01, Trade, 3567.571, 112, B01, S01, 1
B01, Trade, 3568.429, 168, B02, B01, 1
B01, Trade, 3574.143, 388, B01, B02, 1
B01, Trade, 3575.286, 338, S00, B01, 1
B01, Trade, 3576.571, 283, B01, P00, 1
B01, Trade, 3577.571, 461, B01, P00, 1
B01, Trade, 3607.286, 117, B01, S00, 1
B01, Trade, 3638.286, 115, B01, S02, 1
B01, Trade, 3642.143, 171, B01, P00, 1
B01, Trade, 3675.857, 114, B01, S00, 1
B01, Trade, 3679.000, 345, B01, S00, 1
B01, Trade, 3679.857, 63, S02, B01, 1
B01, Trade, 3682.286, 109, B01, S00, 1
B01, Trade, 3683.714, 195, S00, B01, 1
B01, Trade, 3686.571, 261, B01, S02, 1
B01, Trade, 3688.286, 242, B01, S02, 1
B01, Trade, 3688.714, 126, P00, B01, 1
B01, Trade, 3692.000, 98, B01, S00, 1
B01, Trade, 3734.857, 103, B01, S00, 1
B01, Trade, 3735.286, 105, B02, B01, 1
B01, Trade, 3742.857, 28, B01, B00, 1
B01, Trade, 3743.000, 157, S00, B01, 1
B01, Trade, 3746.429, 129, S02, B01, 1
B01, Trade, 3779.429, 114, B01, S00, 1
B01, Trade, 3780.714, 177, B01, P00, 1
B01, Trade, 3781.000, 77, B02, B01, 1
B01, Trade, 3789.286, 178, B01, B02, 1
B01, Trade, 3790.714, 196, B02, B01, 1
B01, Trade, 3816.429, 83, B01, S00, 1
B01, Trade, 3817.429, 78, B00, B01, 1
B01, Trade, 3817.857, 28, B00, B01, 1
B01, Trade, 3819.143, 155, B02, B01, 1
B01, Trade, 3838.429, 351, B01, B02, 1
B01, Trade, 3839.000, 102, B01, B01, 1
B01, Trade, 3839.000, 102, B01, B01, 1
B01, Trade, 3927.714, 107, B01, S01, 1
B01, Trade, 3928.571, 68, B00, B01, 1
B01, Trade, 3930.143, 362, B01, P00, 1
B01, Trade, 3951.714, 239, B01, S01, 1
B01, Trade, 3952.429, 65, B00, B01, 1
B01, Trade, 3955.714, 205, B01, B02, 1
B01, Trade, 3956.143, 83, B01, B02, 1
B01, Trade, 3958.000, 108, B01, B02, 1
B01, Trade, 3962.857, 106, B01, S01, 1
B01, Trade, 4011.571, 437, B01, S02, 1
B01, Trade, 4015.000, 119, B01, B02, 1
B01, Trade, 4016.429, 239, B01, P00, 1
B01, Trade, 4047.571, 104, B01, S01, 1
B01, Trade, 4047.857, 194, B01, S01, 1
B01, Trade, 4068.429, 96, B01, B02, 1
B01, Trade, 4076.571, 252, B01, B02, 1
B01, Trade, 4077.429, 162, B01, P00, 1
B01, Trade, 4078.143, 33, S00, B01, 1
B01, Trade, 4080.286, 221, B02, B01, 1
B01, Trade, 4081.000, 343, S01, B01, 1
B01, Trade, 4107.714, 84, B01, S01, 1
B01, Trade, 4110.571, 265, B01, S01, 1
B01, Trade, 4112.000, 304, B01, P00, 1
B01, Trade, 4112.429, 328, S02, B01, 1
B01, Trade, 4114.714, 295, B01, S02, 1
B01, Trade, 4115.000, 179, B01, P00, 1
B01, Trade, 4133.286, 64, B01, S00, 1
B01, Trade, 4134.000, 132, B02, B01, 1
B01, Trade, 4183.857, 80, B01, S00, 1
B01, Trade, 4198.571, 105, B01, S01, 1
B01, Trade, 4200.000, 295, B01, B01, 1
B01, Trade, 4200.000, 295, B01, B01, 1
B01, Trade, 4201.286, 32, B01, P00, 1
B01, Trade, 4203.714, 173, B01, B00, 1
B01, Trade, 4229.571, 85, S00, B01, 1
B01, Trade, 4232.571, 211, S01, B01, 1
B01, Trade, 4232.857, 351, B01, S00, 1
B01, Trade, 4236.000, 304, B01, B00, 1
B01, Trade, 4236.286, 386, B01, S00, 1
B01, Trade, 4238.571, 247, B01, S02, 1
B01, Trade, 4240.286, 233, B00, B01, 1
B01, Trade, 4306.429, 110, B01, S00, 1
B01, Trade, 4308.429, 148, B01, P00, 1
B01, Trade, 4308.714, 207, B01, S00, 1
B01, Trade, 4335.857, 82, S01, B01, 1
B01, Trade, 4337.000, 212, B01, P00, 1
