S01, Trade, 1964.857, 109, S01, B02, 1
S01, Trade, 1975.000, 102, S01, B01, 1
S01, Trade, 2059.857, 113, S01, B02, 1
S01, Trade, 2089.000, 83, S01, B02, 1
S01, Trade, 2119.714, 81, S01, B01, 1
S01, Trade, 2143.000, 105, S01, B01, 1
S01, Trade, 2204.857, 86, S01, P00, 1
S01, Trade, 2233.429, 124, B02, S01, 1
S01, Trade, 2258.571, 114, S01, B02, 1
S01, Trade, 2291.714, 116, B01, S01, 1
S01, Trade, 2329.000, 98, S01, B02, 1
S01, Trade, 2359.286, 106, S01, B02, 1
S01, Trade, 2384.286, 109, S01, B02, 1
S01, Trade, 2420.286, 110, B01, S01, 1
S01, Trade, 2440.571, 135, B02, S01, 1
S01, Trade, 2473.429, 110, B01, S01, 1
S01, Trade, 2511.571, 93, B01, S01, 1
S01, Trade, 2552.714, 120, S01, B02, 1
S01, Trade, 2580.857, 101, S01, B02, 1
S01, Trade, 2598.857, 107, B01, S01, 1
S01, Trade, 2606.857, 90, S01, P00, 1
S01, Trade, 2660.857, 120, S01, B02, 1
S01, Trade, 2666.429, 107, B01, S01, 1
S01, Trade, 2691.571, 121, B02, S01, 1
S01, Trade, 2746.000, 138, B02, S01, 1
S01, Trade, 2782.286, 123, B02, S01, 1
S01, Trade, 2801.143, 142, B02, S01, 1
S01, Trade, 2832.286, 123, B02, S01, 1
S01, Trade, 2848.143, 110, S01, B02, 1
S01, Trade, 2902.429, 88, S01, P00, 1
S01, Trade, 2938.143, 108, S01, B02, 1
S01, Trade, 2963.143, 95, S01, P00, 1
S01, Trade, 2993.429, 105, S01, B01, 1
S01, Trade, 3023.571, 94, S01, P00, 1
S01, Trade, 3038.857, 91, S01, B02, 1
S01, Trade, 3086.000, 97, B01, S01, 1
S01, Trade, 3112.714, 102, S01, B02, 1
S01, Trade, 3128.857, 114, S01, B01, 1
S01, Trade, 3178.429, 91, S01, P00, 1
S01, Trade, 3204.286, 109, S01, B02, 1
S01, Trade, 3234.000, 108, S01, B02, 1
S01, Trade, 3263.714, 113, S01, B02, 1
S01, Trade, 3272.857, 83, S01, P00, 1
S01, Trade, 3324.857, 93, S01, B01, 1
S01, Trade, 3354.714, 115, S01, B02, 1
S01, Trade, 3438.857, 86, S01, P00, 1
S01, Trade, 3471.429, 90, S01, P00, 1
S01, Trade, 3505.143, 103, B01, S01, 1
S01, Trade, 3523.714, 129, B02, S01, 1
S01, Trade, 3576.286, 117, S01, B02, 1
S01, Trade, 3594.000, 118, B01, S01, 1
S01, Trade, 3625.429, 115, S01, B02, 1
S01, Trade, 3654.857, 140, B02, S01, 1
S01, Trade, 3687.857, 136, B02, S01, 1
S01, Trade, 3711.714, 101, B01, S01, 1
S01, Trade, 3719.000, 121, B02, S01, 1
S01, Trade, 3778.286, 134, B02, S01, 1
S01, Trade, 3804.143, 93, S01, P00, 1
S01, Trade, 3836.429, 88, B01, S01, 1
S01, Trade, 3869.000, 109, B01, S01, 1
S01, Trade, 3948.000, 118, S01, B01, 1
S01, Trade, 3966.857, 87, S01, P00, 1
S01, Trade, 3988.429, 109, S01, B02, 1
S01, Trade, 4069.429, 114, S01, B02, 1
S01, Trade, 4077.714, 100, B01, S01, 1
S01, Trade, 4079.429, 84, S01, P00, 1
S01, Trade, 4139.000, 120, B02, S01, 1
S01, Trade, 4168.429, 120, B01, S01, 1
S01, Trade, 4201.000, 113, S01, B02, 1
S01, Trade, 4203.571, 91, B01, S01, 1
S01, Trade, 4261.143, 90, B01, S01, 1
S01, Trade, 4289.143, 81, S01, B01, 1
S01, Trade, 4319.571, 104, S01, B02, 1
S01, Trade, 4356.571, 108, S01, B02, 1
S01, Trade, 4411.143, 88, S01, P00, 1
S01, Trade, 4472.429, 94, S01, P00, 1
S01, Trade, 4518.857, 108, S01, B01, 1
S01, Trade, 4532.000, 90, S01, B02, 1
S01, Trade, 4562.571, 96, B01, S01, 1
S01, Trade, 4593.714, 96, S01, P00, 1
S01, Trade, 4618.857, 97, S01, B02, 1
S01, Trade, 4653.000, 119, S01, B02, 1
S01, Trade, 4708.429, 105, S01, B02, 1
S01, Trade, 4754.286, 113, S01, B02, 1
S01, Trade, 4791.857, 119, S01, B02, 1
S01, Trade, 4847.571, 119, S01, B02, 1
S01, Trade, 4865.429, 89, S01, B01, 1
S01, Trade, 4873.143, 90, P00, S01, 1
S01, Trade, 4956.143, 128, B02, S01, 1
S01, Trade, 4991.429, 93, S01, P00, 1
S02, 42
S02, Trade, 81.429, 124, S02, B02, 1
S02, Trade, 187.857, 129, S02, B02, 1
S02, Trade, 333.000, 143, S02, B02, 1
S02, Trade, 426.857, 138, S02, B02, 1
S02, Trade, 465.143, 145, S02, B02, 1
S02, Trade, 614.000, 125, S02, B02, 1
S02, Trade, 684.143, 130, S02, B02, 1
S02, Trade, 779.571, 122, S02, B02, 1
S02, Trade, 847.000, 134, S02, B02, 1
S02, Trade, 886.286, 157, S02, B02, 1
S02, Trade, 969.143, 146, S02, B02, 1
S02, Trade, 998.143, 125, S02, B02, 1
S02, Trade, 1145.571, 129, S02, B02, 1
