S01, Trade, 4141.286, 100, B01, S01, 1
S01, Trade, 4170.000, 100, B01, S01, 1
S01, Trade, 4260.571, 100, S01, B02, 1
S01, Trade, 4380.429, 101, B02, S01, 1
S01, Trade, 4441.286, 100, S01, B01, 1
S01, Trade, 4533.286, 100, S01, B01, 1
S01, Trade, 4653.571, 101, B02, S01, 1
S01, Trade, 4805.286, 100, S01, B00, 1
S01, Trade, 4925.571, 100, S01, B02, 1
S01, Trade, 4957.571, 100, S01, B00, 1
S01, Trade, 4988.571, 100, S01, B01, 1
S02, 12
S02, Trade, 272.571, 101, B02, S02, 1
S02, Trade, 332.857, 101, B02, S02, 1
S02, Trade, 726.429, 101, B02, S02, 1
S02, Trade, 968.286, 101, B02, S02, 1
S02, Trade, 1149.571, 101, B02, S02, 1
S02, Trade, 1605.857, 101, B02, S02, 1
S02, Trade, 2299.429, 101, B02, S02, 1
S02, Trade, 2722.714, 101, B02, S02, 1
S02, Trade, 2962.571, 101, B02, S02, 1
S02, Trade, 4230.143, 101, B02, S02, 1
S02, Trade, 4592.429, 101, B02, S02, 1
S02, Trade, 4714.143, 101, B02, S02, 1
P00, 0
