B00, 227
B01, Trade, 31.143, 100, B01, B00, 1
B01, Trade, 31.286, 175, B01, S01, 1
B01, Trade, 60.286, 80, S01, B01, 1
B01, Trade, 60.429, 147, B02, B01, 1
B01, Trade, 121.429, 100, B01, S00, 1
B01, Trade, 182.714, 100, B01, S01, 1
B01, Trade, 184.143, 313, B01, S02, 1
B01, Trade, 276.000, 100, B01, S02, 1
B01, Trade, 276.714, 331, B01, S02, 1
B01, Trade, 333.000, 100, B01, S00, 1
B01, Trade, 334.143, 258, B01, B00, 1
B01, Trade, 334.571, 85, B01, B02, 1
B01, Trade, 336.714, 338, B01, P00, 1
B01, Trade, 338.286, 393, B02, B01, 1
B01, Trade, 339.000, 255, S00, B01, 1
B01, Trade, 340.714, 390, S00, B01, 1
B01, Trade, 397.571, 100, B01, S00, 1
B01, Trade, 460.286, 100, B01, S00, 1
B01, Trade, 461.714, 366, B02, B01, 1
B01, Trade, 462.143, 253, P00, B01, 1
B01, Trade, 574.857, 100, B01, S01, 1
B01, Trade, 575.429, 101, S02, B01, 1
B01, Trade, 604.286, 100, B01, S01, 1
B01, Trade, 605.286, 103, B01, S02, 1
B01, Trade, 606.571, 139, B02, B01, 1
B01, Trade, 606.857, 177, S01, B01, 1
B01, Trade, 635.000, 100, B01, S01, 1
B01, Trade, 636.571, 210, B01, S00, 1
B01, Trade, 639.857, 327, B01, S01, 1
B01, Trade, 640.429, 158, S00, B01, 1
B01, Trade, 695.000, 100, B01, S01, 1
B01, Trade, 695.714, 101, S02, B01, 1
B01, Trade, 699.714, 325, B01, B02, 1
B01, Trade, 701.000, 356, B01, S00, 1
B01, Trade, 702.286, 361, B00, B01, 1
B01, Trade, 725.571, 376, B01, S00, 1
B01, Trade, 728.286, 222, S01, B01, 1
B01, Trade, 730.857, 385, B01, S02, 1
B01, Trade, 755.571, 236, B01, S02, 1
B01, Trade, 785.857, 344, B01, S00, 1
B01, Trade, 816.571, 286, B01, S01, 1
B01, Trade, 818.857, 136, B01, S02, 1
B01, Trade, 821.000, 193, S01, B01, 1
B01, Trade, 822.143, 257, S01, B01, 1
B01, Trade, 846.571, 264, B01, S00, 1
B01, Trade, 849.571, 283, B01, S00, 1
B01, Trade, 907.000, 100, B01, S00, 1
B01, Trade, 907.429, 186, B00, B01, 1
B01, Trade, 938.714, 100, B01, S01, 1
B01, Trade, 939.571, 209, P00, B01, 1
B01, Trade, 969.714, 227, B01, S01, 1
B01, Trade, 969.857, 146, S02, B01, 1
B01, Trade, 970.143, 240, B02, B01, 1
B01, Trade, 972.429, 188, B01, S00, 1
B01, Trade, 975.714, 325, B01, P00, 1
B01, Trade, 999.143, 258, B01, S00, 1
B01, Trade, 1030.000, 100, B01, S01, 1
B01, Trade, 1034.429, 303, B01, B00, 1
B01, Trade, 1034.857, 314, S00, B01, 1
B01, Trade, 1035.857, 321, S00, B01, 1
B01, Trade, 1091.286, 100, B01, S01, 1
B01, Trade, 1093.571, 168, S01, B01, 1
B01, Trade, 1094.286, 232, B01, S01, 1
B01, Trade, 1094.429, 158, S00, B01, 1
B01, Trade, 1095.143, 89, S02, B01, 1
B01, Trade, 1119.429, 100, S01, B01, 1
B01, Trade, 1150.857, 100, B01, B02, 1
B01, Trade, 1151.857, 274, B00, B01, 1
B01, Trade, 1180.143, 100, B01, S00, 1
B01, Trade, 1211.000, 100, S01, B01, 1
B01, Trade, 1212.286, 181, B01, S01, 1
B01, Trade, 1243.000, 100, B01, B00, 1
B01, Trade, 1270.857, 100, B01, S00, 1
B01, Trade, 1273.286, 342, B00, B01, 1
B01, Trade, 1274.143, 181, S01, B01, 1
B01, Trade, 1275.143, 364, B01, B01, 1
B01, Trade, 1275.143, 364, B01, B01, 1
B01, Trade, 1275.429, 445, B02, B01, 1
B01, Trade, 1276.571, 188, B01, P00, 1
B01, Trade, 1277.143, 209, B01, P00, 1
B01, Trade, 1302.143, 100, S00, B01, 1
B01, Trade, 1331.000, 121, B01, S00, 1
B01, Trade, 1332.143, 391, B01, B01, 1
B01, Trade, 1332.143, 391, B01, B01, 1
B01, Trade, 1393.571, 100, B01, S01, 1
B01, Trade, 1397.571, 341, B01, S00, 1
B01, Trade, 1422.571, 100, B01, S01, 1
B01, Trade, 1423.714, 68, S01, B01, 1
B01, Trade, 1424.857, 103, B01, S01, 1
B01, Trade, 1483.286, 431, B01, S01, 1
B01, Trade, 1484.000, 425, B01, S02, 1
B01, Trade, 1485.429, 101, B02, B01, 1
B01, Trade, 1486.286, 100, B00, B01, 1
B01, Trade, 1574.429, 100, B01, S01, 1
B01, Trade, 1604.429, 100, B01, S01, 1
B01, Trade, 1606.429, 142, B01, S02, 1
B01, Trade, 1634.857, 100, B01, S01, 1
B01, Trade, 1664.429, 155, B01, B02, 1
B01, Trade, 1667.000, 101, S02, B01, 1
B01, Trade, 1668.143, 134, S02, B01, 1
B01, Trade, 1670.286, 102, P00, B01, 1
B01, Trade, 1724.857, 100, B01, S00, 1
B01, Trade, 1725.286, 101, S02, B01, 1
B01, Trade, 1726.571, 384, B01, S02, 1
B01, Trade, 1788.143, 100, B01, S02, 1
B01, Trade, 1818.429, 383, B01, S02, 1
B01, Trade, 1846.000, 357, B01, S02, 1
B01, Trade, 1847.143, 246, B01, S00, 1
B01, Trade, 1848.000, 170, B01, P00, 1
B01, Trade, 1849.286, 322, B00, B01, 1
B01, Trade, 1877.571, 100, B01, S01, 1
B01, Trade, 1937.286, 100, B01, S00, 1
B01, Trade, 1942.857, 220, B01, B02, 1
B01, Trade, 1943.857, 158, S02, B01, 1
B01, Trade, 2028.714, 100, B01, S01, 1
B01, Trade, 2029.286, 363, B00, B01, 1
B01, Trade, 2178.429, 100, B01, S00, 1
B01, Trade, 2179.429, 253, B01, B02, 1
B01, Trade, 2212.000, 100, B01, B00, 1
B01, Trade, 2238.714, 411, B01, S01, 1
B01, Trade, 2272.286, 100, B01, S00, 1
B01, Trade, 2300.571, 100, B01, S01, 1
B01, Trade, 2300.714, 172, S00, B01, 1
B01, Trade, 2359.143, 100, B01, S00, 1
B01, Trade, 2392.000, 100, B01, S01, 1
B01, Trade, 2421.286, 244, B01, B02, 1
B01, Trade, 2449.571, 158, B01, S01, 1
B01, Trade, 2454.857, 334, S02, B01, 1
B01, Trade, 2541.000, 100, B01, S00, 1
B01, Trade, 2542.000, 286, B01, P00, 1
B01, Trade, 2603.000, 100, B01, B02, 1
B01, Trade, 2604.857, 349, B01, B02, 1
B01, Trade, 2605.857, 106, B01, S00, 1
B01, Trade, 2606.571, 91, B01, S00, 1
B01, Trade, 2608.286, 319, B01, S02, 1
B01, Trade, 2660.571, 100, B01, S00, 1
B01, Trade, 2661.571, 107, S02, B01, 1
B01, Trade, 2662.000, 231, S01, B01, 1
B01, Trade, 2691.000, 99, B02, B01, 1
B01, Trade, 2691.714, 150, B01, B02, 1
B01, Trade, 2694.429, 190, S02, B01, 1
B01, Trade, 2696.286, 231, B02, B01, 1
B01, Trade, 2698.571, 304, B01, S00, 1
B01, Trade, 2751.143, 100, B01, S00, 1
B01, Trade, 2752.571, 185, B01, S00, 1
B01, Trade, 2753.000, 112, B01, S01, 1
B01, Trade, 2753.286, 406, B00, B01, 1
B01, Trade, 2755.857, 196, B02, B01, 1
B01, Trade, 2757.286, 234, B01, P00, 1
B01, Trade, 2757.429, 335, B02, B01, 1
B01, Trade, 2781.857, 100, S01, B01, 1
B01, Trade, 2783.571, 80, B01, B00, 1
B01, Trade, 2783.714, 101, S02, B01, 1
B01, Trade, 2784.571, 156, B01, S02, 1
B01, Trade, 2813.429, 100, B01, S01, 1
B01, Trade, 2814.000, 154, B01, S02, 1
B01, Trade, 2871.571, 100, B01, S01, 1
B01, Trade, 2875.714, 188, B01, B02, 1
B01, Trade, 2877.000, 294, B00, B01, 1
B01, Trade, 2902.714, 100, B01, S02, 1
B01, Trade, 2903.143, 100, B00, B01, 1
B01, Trade, 2934.286, 100, B01, B00, 1
B01, Trade, 2934.714, 170, B01, B02, 1
B01, Trade, 3053.714, 342, B01, S01, 1
B01, Trade, 3083.000, 378, B01, S00, 1
B01, Trade, 3084.143, 369, S02, B01, 1
B01, Trade, 3113.429, 257, B01, S01, 1
B01, Trade, 3114.857, 497, B01, S01, 1
B01, Trade, 3115.857, 413, B01, S01, 1
B01, Trade, 3117.000, 279, S00, B01, 1
B01, Trade, 3117.714, 330, B01, S00, 1
B01, Trade, 3119.429, 399, S00, B01, 1
B01, Trade, 3324.429, 100, B01, S01, 1
B01, Trade, 3325.286, 447, B01, P00, 1
B01, Trade, 3325.714, 399, B01, S01, 1
B01, Trade, 3354.000, 296, B01, S00, 1
B01, Trade, 3385.000, 272, B01, B02, 1
B01, Trade, 3385.429, 100, B01, S00, 1
B01, Trade, 3386.571, 102, B01, S02, 1
B01, Trade, 3387.143, 196, B00, B01, 1
B01, Trade, 3387.857, 246, B00, B01, 1
B01, Trade, 3415.429, 100, S00, B01, 1
B01, Trade, 3415.714, 224, B01, S02, 1
B01, Trade, 3445.143, 100, S01, B01, 1
B01, Trade, 3475.571, 100, B01, S00, 1
B01, Trade, 3475.714, 107, B01, B02, 1
B01, Trade, 3504.571, 344, B01, S02, 1
B01, Trade, 3505.714, 414, B00, B01, 1
B01, Trade, 3506.143, 159, S01, B01, 1
B01, Trade, 3507.571, 304, B01, S02, 1
B01, Trade, 3603.571, 100, B01, B02, 1
B01, Trade, 3605.857, 399, B02, B01, 1
B01, Trade, 3625.143, 292, B01, S01, 1
B01, Trade, 3626.000, 101, S02, B01, 1
B01, Trade, 3657.571, 100, B01, S00, 1
B01, Trade, 3721.857, 100, B01, B00, 1
B01, Trade, 3722.000, 67, B02, B01, 1
B01, Trade, 3747.571, 100, B01, S00, 1
B01, Trade, 3779.571, 100, B01, S02, 1
B01, Trade, 3806.143, 100, B01, S00, 1
B01, Trade, 3807.429, 103, B01, S01, 1
B01, Trade, 3836.571, 100, S00, B01, 1
B01, Trade, 3837.000, 252, B01, B01, 1
B01, Trade, 3837.000, 252, B01, B01, 1
B01, Trade, 3897.286, 100, B01, S00, 1
B01, Trade, 3926.571, 319, B01, S01, 1
B01, Trade, 3957.286, 100, B01, S00, 1
B01, Trade, 3987.714, 225, B01, S01, 1
B01, Trade, 3988.286, 100, B01, B00, 1
B01, Trade, 3991.143, 255, B01, S02, 1
B01, Trade, 4018.571, 100, B01, S00, 1
B01, Trade, 4048.429, 100, S00, B01, 1
B01, Trade, 4049.286, 51, S00, B01, 1
B01, Trade, 4049.714, 275, B01, S00, 1
B01, Trade, 4107.571, 100, B01, S00, 1
B01, Trade, 4108.286, 100, B00, B01, 1
B01, Trade, 4108.857, 89, S02, B01, 1
B01, Trade, 4169.000, 100, B01, S00, 1
B01, Trade, 4229.714, 351, B01, B02, 1
B01, Trade, 4232.714, 100, B01, S01, 1
B01, Trade, 4236.571, 108, B01, S01, 1
B01, Trade, 4237.143, 211, S02, B01, 1
B01, Trade, 4237.429, 100, B00, B01, 1
B01, Trade, 4239.286, 192, B01, P00, 1
B01, Trade, 4381.000, 100, B01, S00, 1
B01, Trade, 4382.000, 313, S00, B01, 1
B01, Trade, 4383.429, 231, S01, B01, 1
B01, Trade, 4385.286, 338, B01, B00, 1
B01, Trade, 4441.000, 100, B01, S00, 1
B01, Trade, 4443.000, 173, B01, S01, 1
B01, Trade, 4472.000, 116, B01, S02, 1
B01, Trade, 4472.143, 100, B01, S00, 1
B01, Trade, 4473.571, 176, B01, S02, 1
B01, Trade, 4473.714, 355, S00, B01, 1
B01, Trade, 4474.000, 154, B01, B02, 1
B01, Trade, 4501.571, 100, B01, S00, 1
B01, Trade, 4503.000, 100, S01, B01, 1
B01, Trade, 4508.857, 64, B01, S00, 1
B01, Trade, 4509.571, 181, B01, S01, 1
B01, Trade, 4513.000, 35, B01, S00, 1
B01, Trade, 4515.286, 349, B01, S01, 1
B01, Trade, 4518.571, 170, B01, P00, 1
B01, Trade, 4518.714, 298, B02, B01, 1
B01, Trade, 4562.143, 100, B01, S01, 1
B01, Trade, 4562.714, 375, S02, B01, 1
B01, Trade, 4564.857, 201, S01, B01, 1
B01, Trade, 4623.571, 100, B01, S00, 1
B01, Trade, 4653.429, 349, B01, S01, 1
B01, Trade, 4654.000, 101, S02, B01, 1
B01, Trade, 4654.286, 232, S00, B01, 1
B01, Trade, 4655.714, 117, B01, S00, 1
B01, Trade, 4714.000, 100, B01, S01, 1
B01, Trade, 4718.000, 143, B01, B02, 1
B01, Trade, 4836.000, 100, B01, S01, 1
B01, Trade, 4837.000, 101, S02, B01, 1
B01, Trade, 4896.286, 100, B01, S00, 1
B01, Trade, 4896.571, 213, B01, B02, 1
B01, Trade, 4903.429, 228, B01, S02, 1
B01, Trade, 4925.286, 100, B01, S00, 1
B01, Trade, 4926.429, 100, S01, B01, 1
B01, Trade, 4986.143, 100, B01, S01, 1
B01, Trade, 4987.000, 146, B01, B02, 1
B01, Trade, 4987.714, 242, S01, B01, 1
B01, Trade, 4987.857, 392, B00, B01, 1
B01, Trade, 4989.857, 399, B02, B01, 1
B01, Trade, 4990.000, 159, S01, B01, 1
B02, 327
B02, Trade, 30.429, 111, B02, S02, 1
B02, Trade, 32.286, 225, S02, B02, 1
B02, Trade, 32.714, 110, B02, S01, 1
B02, Trade, 35.571, 98, S00, B02, 1
B02, Trade, 37.143, 128, B02, S01, 1
B02, Trade, 60.429, 147, B02, B01, 1
B02, Trade, 60.571, 182, S02, B02, 1
B02, Trade, 90.571, 350, B02, S01, 1
B02, Trade, 92.286, 100, B00, B02, 1
B02, Trade, 92.571, 133, S00, B02, 1
B02, Trade, 121.000, 101, B02, S01, 1
B02, Trade, 121.714, 173, S01, B02, 1
B02, Trade, 151.857, 144, B02, S02, 1
B02, Trade, 153.286, 296, S02, B02, 1
B02, Trade, 182.286, 101, B02, S00, 1
B02, Trade, 184.286, 344, B02, B02, 1
B02, Trade, 184.286, 344, B02, B02, 1
B02, Trade, 212.571, 101, B02, S02, 1
B02, Trade, 242.571, 101, B02, S02, 1
B02, Trade, 272.714, 190, B02, S00, 1
B02, Trade, 273.286, 257, S01, B02, 1
B02, Trade, 275.000, 199, B02, S02, 1
B02, Trade, 275.286, 269, S00, B02, 1
B02, Trade, 275.571, 146, S02, B02, 1
B02, Trade, 332.714, 101, B02, S02, 1
B02, Trade, 334.571, 85, B01, B02, 1
B02, Trade, 335.286, 65, S02, B02, 1
B02, Trade, 338.286, 393, B02, B01, 1
B02, Trade, 339.286, 105, S00, B02, 1
B02, Trade, 363.571, 101, S02, B02, 1
B02, Trade, 393.286, 101, B02, S00, 1
B02, Trade, 394.286, 208, B02, S01, 1
B02, Trade, 398.714, 100, B00, B02, 1
B02, Trade, 459.429, 101, B02, S00, 1
B02, Trade, 460.857, 252, B02, S00, 1
B02, Trade, 461.714, 366, B02, B01, 1
B02, Trade, 484.000, 101, S02, B02, 1
B02, Trade, 485.714, 332, B02, P00, 1
B02, Trade, 514.000, 101, B02, S01, 1
B02, Trade, 516.857, 278, B02, S00, 1
B02, Trade, 544.143, 306, B02, S01, 1
B02, Trade, 547.000, 162, B02, P00, 1
B02, Trade, 574.286, 101, B02, S00, 1
B02, Trade, 575.571, 423, B02, S00, 1
B02, Trade, 576.000, 100, B00, B02, 1
B02, Trade, 604.714, 101, B02, S00, 1
B02, Trade, 606.571, 139, B02, B01, 1
B02, Trade, 607.286, 197, B00, B02, 1
B02, Trade, 665.286, 101, B02, S01, 1
B02, Trade, 696.000, 101, B02, S00, 1
B02, Trade, 697.571, 324, S00, B02, 1
B02, Trade, 699.714, 325, B01, B02, 1
B02, Trade, 727.429, 101, B02, S02, 1
B02, Trade, 727.571, 422, B02, S02, 1
B02, Trade, 755.714, 170, B02, S01, 1
B02, Trade, 787.000, 147, B02, S01, 1
B02, Trade, 788.571, 199, B02, S02, 1
B02, Trade, 816.143, 149, B02, S00, 1
B02, Trade, 817.000, 101, S02, B02, 1
B02, Trade, 877.286, 101, B02, S01, 1
B02, Trade, 877.429, 387, S02, B02, 1
B02, Trade, 907.286, 101, B02, S01, 1
B02, Trade, 937.429, 101, S02, B02, 1
B02, Trade, 938.000, 118, S00, B02, 1
B02, Trade, 970.143, 240, B02, B01, 1
B02, Trade, 970.286, 312, S00, B02, 1
B02, Trade, 971.714, 49, S01, B02, 1
B02, Trade, 973.714, 292, S01, B02, 1
B02, Trade, 998.857, 101, B02, S00, 1
B02, Trade, 1028.714, 101, B02, S00, 1
B02, Trade, 1030.571, 202, S01, B02, 1
